Unique UID in diq_data
9060304
9060305
1030113
1030117
9060306
9060307
9080411
1060269
1030111
1030094
1030095
1030112
1030098
9080433
9080434
9080410
9060302
9060303
1060262
1060264
1060265
1060266
1060267
1030114
1030115
1030116
